user,item,rating,
99999,7110928,0,
99999,60008032,0,
99999,60090367,0,
99999,006016848X,0,
99999,60557257,0,
99999,61031992,0,
99999,62502182,0,
99999,64471101,0,
99999,99993805,6,
99999,140042598,0,
99999,140276904,0,
99999,014027927X,0,
99999,140279288,0,
99999,140620338,0,
99999,142000221,0,
99999,316096199,0,
99999,316182540,0,
99999,330375253,0,
99999,345339711,10,
99999,345339738,10,
99999,345447840,0,
99999,380731851,0,
99999,380796104,0,
99999,385504209,10,
99999,440211727,0,
99999,440213282,0,
99999,440220602,0,
99999,440226406,0,
99999,446602612,0,
99999,446672211,0,
99999,451156609,0,
99999,451160444,0,
99999,451167317,0,
99999,451167805,0,
99999,451169514,0,
99999,451169522,0,
99999,451172817,0,
99999,451177096,0,
99999,515132020,0,
99999,553263218,0,
99999,553296981,4,
99999,590660543,0,
99999,618002227,10,
99999,671039725,0,
99999,671695304,0,
99999,743424425,0,
99999,749336501,0,
99999,749397543,0,
99999,1551667010,0,
99999,60176806,0,
99999,61009059,0,
99999,312265840,0,
99999,312291639,0,
99999,312966091,0,
99999,312966970,0,
99999,312976275,0,
99999,031298328X,0,
99999,312983867,0,
99999,312991460,0,
99999,316693324,0,
99999,375700757,0,
99999,385306024,0,
99999,385306040,0,
99999,385315236,0,
99999,385315309,0,
99999,038531695X,0,
99999,385319568,0,
99999,385333064,0,
99999,039914465X,0,
99999,399147128,0,
99999,425151867,0,
99999,440166497,0,
99999,440184053,0,
99999,440200563,0,
99999,044023722X,0,
99999,446601241,0,
99999,446603716,0,
99999,446603929,0,
99999,446605484,0,
99999,446606189,0,
99999,446609323,0,
99999,446609404,0,
99999,446610038,0,
99999,446611085,0,
99999,446612545,0,
99999,446613843,0,
99999,449003787,0,
99999,449005615,0,
99999,449213323,0,
99999,552998931,0,
99999,553295772,0,
99999,553568760,0,
99999,671001795,0,
99999,671014196,0,
99999,671867091,0,
99999,671867164,0,
99999,671886665,0,
99999,679781587,0,
99999,743230051,0,
99999,971880107,0,
99999,20199600,0,
99999,002542730X,0,
99999,28604202,0,
99999,312195516,0,
99999,345298349,0,
99999,345370775,0,
99999,345372050,0,
99999,034538184X,0,
99999,345386108,0,
99999,044021145X,0,
99999,440213525,0,
99999,440214041,0,
99999,446322180,0,
99999,446357405,0,
99999,449134482,0,
99999,449217264,0,
99999,449219569,0,
99999,449221393,0,
99999,449221431,0,
99999,449221873,0,
99999,451173139,0,
99999,051511264X,0,
99999,515113328,0,
99999,515120278,0,
99999,553560441,0,
99999,059035342X,0,
99999,671004530,0,
99999,671004549,0,
99999,671004573,0,
99999,671027123,0,
99999,671461494,0,
99999,671701231,0,
99999,671741195,0,
99999,671758896,0,
99999,671867172,0,
99999,671888587,0,
99999,679720200,0,
99999,684810395,0,
99999,684832291,0,
99999,080410526X,0,
99999,155874262X,0,
99999,000649840X,0,
99999,60086386,0,
99999,60175400,0,
99999,006019491X,0,
99999,60199652,0,
99999,60392452,0,
99999,60928336,0,
99999,60987529,0,
99999,006098824X,0,
99999,64400557,0,
99999,142000205,0,
99999,142001740,0,
99999,156005891,0,
99999,156006529,0,
99999,312244266,0,
99999,312278586,0,
99999,312305060,0,
99999,312978383,0,
99999,316569321,0,
99999,316666343,0,
99999,316781266,0,
99999,316782505,0,
99999,316789844,0,
99999,316899984,0,
99999,330367358,0,
99999,345339681,8,
99999,345353145,0,
99999,345370805,0,
99999,345443683,0,
99999,345446860,0,
99999,374281602,0,
99999,375400117,0,
99999,375411550,0,
99999,375506039,0,
99999,375703063,0,
99999,375703861,0,
99999,037570504X,0,
99999,375707972,0,
99999,375727345,0,
99999,380710811,0,
99999,380717018,0,
99999,380718332,0,
99999,380718340,0,
99999,380789035,0,
99999,038079487X,0,
99999,385312202,0,
99999,038531258X,0,
99999,385314744,0,
99999,385335121,0,
99999,385335482,0,
99999,385335881,0,
99999,385497466,0,
99999,385502532,0,
99999,385720106,0,
99999,385720955,0,
99999,425081818,0,
99999,425107469,0,
99999,425147622,0,
99999,425154092,0,
99999,425158616,0,
99999,425162443,0,
99999,425163407,0,
99999,440202043,0,
99999,440221471,0,
99999,044022165X,0,
99999,440222656,0,
99999,440223237,0,
99999,440224853,0,
99999,441005764,0,
99999,446310786,0,
99999,446359866,0,
99999,446364193,0,
99999,044651862X,0,
99999,446519081,0,
99999,446604402,0,
99999,446606383,0,
99999,446608955,0,
99999,044661162X,0,
99999,449002632,0,
99999,449006344,0,
99999,449911446,0,
99999,451184718,0,
99999,451184963,0,
99999,451191013,0,
99999,451210743,0,
99999,452260116,0,
99999,452264464,0,
99999,452282829,0,
99999,505525526,0,
99999,515130044,0,
99999,055326611X,0,
99999,553273914,0,
99999,553278002,0,
99999,553584049,0,
99999,590353403,0,
99999,067082982X,0,
99999,670839531,0,
99999,670844527,0,
99999,670858692,0,
99999,670894184,0,
99999,670894508,0,
99999,671021001,0,
99999,671027360,8,
99999,671038184,0,
99999,067169507X,0,
99999,679419454,0,
99999,679419462,0,
99999,679450432,0,
99999,067976402X,0,
99999,684857820,0,
99999,684859734,0,
99999,743417682,0,
99999,747532745,0,
99999,747538484,0,
99999,747546290,0,
99999,747551006,0,
99999,786866276,0,
99999,080410753X,0,
99999,804114986,0,
99999,080411868X,0,
99999,812543262,0,
99999,812570944,0,
99999,821776037,0,
99999,874776945,0,
99999,1565122968,0,
99999,1878424319,0,
99999,60934719,0,
99999,61031550,0,
99999,64407683,0,
99999,64407691,0,
99999,64408639,0,
99999,99464810,0,
99999,140233903,0,
99999,140620184,0,
99999,312421273,0,
99999,312954468,0,
99999,312971230,0,
99999,316779423,0,
99999,345335651,0,
99999,345345738,0,
99999,345350499,0,
99999,345391802,9,
99999,375760911,0,
99999,380730820,0,
99999,380789019,0,
99999,380977788,0,
99999,385486804,0,
99999,385492081,0,
99999,395977894,0,
99999,042511984X,0,
99999,425171493,0,
99999,425192725,0,
99999,440218535,0,
99999,441003257,0,
99999,446525731,0,
99999,446530239,0,
99999,446604666,0,
99999,446612790,0,
99999,449221482,0,
99999,449221504,0,
99999,449221512,0,
99999,449223604,0,
99999,449223612,0,
99999,515117234,0,
99999,552131067,0,
99999,552134619,0,
99999,552134651,0,
99999,552145424,0,
99999,552546933,0,
99999,553268880,0,
99999,553271636,0,
99999,553273299,0,
99999,553279556,0,
99999,553280341,0,
99999,553280368,0,
99999,553284789,0,
99999,553573136,0,
99999,553581929,0,
99999,671027387,0,
99999,671042262,0,
99999,671689746,0,
99999,679448594,0,
99999,679735771,0,
99999,743206045,0,
99999,743206061,0,
99999,743460529,0,
99999,749395990,0,
99999,3257228007,0,
99999,3746614007,0,
99999,60930535,0,
99999,006101351X,0,
99999,61093092,0,
99999,006109868X,0,
99999,014023313X,0,
99999,014028009X,0,
99999,014034893X,0,
99999,015600710X,0,
99999,312265859,0,
99999,312289723,0,
99999,312952716,0,
99999,312971346,0,
99999,312983301,0,
99999,312995423,0,
99999,316284955,0,
99999,316769487,0,
